"13929: Energiforbruk i husholdninger og fritidshus, etter år og statistikkvariabel"

"år";"Energibruk i alt, per person (kWh)"
"1990";13735
"1991";13913
"1992";13667
"1993";13782
"1994";14083
"1995";14132
"1996";14632
"1997";13989
"1998";13994
"1999";14010
"2000";13507
"2001";13975
"2002";13933
"2003";13594
"2004";13596
"2005";13723
"2006";13929
"2007";13969
"2008";13763
"2009";13961
"2010";14881
"2011";13437
"2012";13829
"2013";13443
"2014";12643
"2015";12898
"2016";13046
"2017";12947
"2018";12749
"2019";12265
"2020";12274
"2021";12755
"2022";11678
"2023";11813
